Words	Pseudowords	n_Syllables	Bewertung	Included	Include? 	Pilot	Sound	Action	Hand Act	Hand is dominant	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Visuell	Visuell_SD	Vertrautheit	Vertrautheit_SD	Letters	Lemma_freq	Neighbors	Bigram_freq	Trigram_freq	Natural	Living	Animate	CongResp_S_Prop	CongResp_S_Prop (philosopher exluded)	RT_S_Mean	CongResp_A_Prop	CongResp_A_Prop (philosopher exluded)	RT_A_Mean	LDT_CorrResp_Prop	LDT_RT_Mean	CorrResp_Prop_PW	RT_Mean_PW		First_Miniblock_OddSubs	First_Miniblock_EvenSubs	Rating_Study	Unbekannt_GE	Unbekannt_HA	Unbekannt_VI	Pros	Cons			Phil Comments	Comments Phil	Comments Marie	Comments Gesa						Foot Act	Mouth Act			Category 	AF	Act	Kiefer		Kategorie 		Syllables_raw		Vertrautheit (ORIGINAL)	Geraeusch_SE	Handlung_SE	Visuell_SE	Vertrautheit_SE		RT_S_Sum	CongResp_S_Sum	NonNaNTrials_S	RT_A_Sum	CongResp_A_Sum	NonNaNTrials_A	RT_Sum_W	CorrResp_Sum_W	NonNaNTrials_W	RT_Sum_PW	CorrResp_Sum_PW	NonNaNTrials_PW			
Kordel		2	4	0,8		0	0	1	1	1	1,38	0,89	3,75	1,18	3,56	1,59	5,38	1,02	6	0,51	3,85	192287,37	47816,16	0	0	0																		very low AF		not very high Act															o	y		1						3,93						0	0	0	0	0	0	0	0	0	0	0	0			
Wecker		2	3	0,8	intuitiv stark mit Handlungen assoziiert	0	1	1	1	1	5,88		3,25		3,44		6,00	0,00	6	2,33	14,98	323763,27	215160,41	0	0	0														NachR_VE				very high AF				im Notfall (intuitiv high Act)													o	0	1	1				schnur		4,20						0	0	0	0	0	0	0	0	0	0	0	0			
Lilie		2	2	0,8		0	0	0			1,11	0,32	2,33	1,19	5,11	0,96	5,56	0,86	5	2,08	5,57	259782,86	189657,25	1	1	0																		very low AF	plant (only appear as low AF)	highly visual	low action														o	0	0,5	0						5,25						0	0	0	0	0	0	0	0	0	0	0	0			
Berg		1	2	0,8		0	0	0			1,35	0,57	2,13	1,42	5,05	1,16	5,81	0,51	4	58,21	20,98	226234,72	57392,29	1	0	0														3	0,00	0,00	0,00		nicht sehr low Act																o	0,5	1	0						4,43						0	0	0	0	0	0	0	0	0	0	0	0			
Narzisse		3	2	0,8		0	0	0			1,06	0,24	2,12	0,93	4,88	1,27	5,39	1,14	8	0,94	1,71	255129,06	157579,21	1	1	0																		very low AF	plant (only appear as low AF)	highly visual	low action																							5,10	0,29	0,31	0,40	0,26		0	0	0	0	0	0	0	0	0	0	0	0			
Blüte		2	2	0,8		0	0	0			1,17	0,49	2,00	1,13	4,19	1,36	5,62	0,59	5	28,59	6,42	231443,76	172719,07	1	1	0														3	0,00	0,00	0,00																		a	0,8	0	1						3,73						0	0	0	0	0	0	0	0	0	0	0	0			
Tulpe		2	2	0,8		0	0	0			1,00		2,00		5,27		5,92	0,28	5	1,58	3,42	147550,45	140155,34	1	1	0														NachR_VE				very low AF	plant (only appear as low AF)	highly visual																				Tier		ot-ter		5,24	0,16	0,07	0,38	0,24		0	0	0	0	0	0	0	0	0	0	0	0			
Birke		2	2	0,8		0	0	0			2,00	1,15	1,50	0,73	4,56	1,46	5,19	1,22	5	3,70	12,41	180774,21	154675,62	1	1	0																			plant (only appear as low AF)	very low action																						tor-so		3,60	0,15	0,22	0,43	0,45		0	0	0	0	0	0	0	0	0	0	0	0			
Hering 		2	3	0,5		0	0	0			1,17	0,39	2,35	1,27	3,29	1,52	5,24	0,94	7	4,87	13,27	342515,81	71649,99	1	1	1														3	0,00	0,00	0,00		nicht eindeutig low Act																m	1	1	0				u-ku-le-le		5,31						0	0	0	0	0	0	0	0	0	0	0	0			
Forelle		3	3	0,5		0	0	0			1,31	0,60	2,19	0,98	3,31	1,45	4,44	1,67	7	2,34	3,00	284037,33	167849,41	1	1	1																		very low AF				im Notfall (durchaus mit gewissen Handlungen assoziiert: Essen)													o	0,5	1	0						5,06	0,10	0,19	0,37	0,34		0	0	0	0	0	0	0	0	0	0	0	0			
Barsch		1	3	0,5	nicht sehr vertraut	0	0	0			1,31	0,60	1,81	0,91	3,38	1,45	4,00	1,63	6	0,84	15,41	261616,80	138155,71	1	1	1																		very low AF																						menschengemachtes Objekt				5,05	0,22	0,31	0,37	0,24		0	0	0	0	0	0	0	0	0	0	0	0			
Schmetterling		3	2	0,5		0	0	0			1,00		1,64		5,36		6,00	0,00	13	7,35	2,57	638648,21	125672,35	1	1	1														NachR_VE				very low AF	highly visual	very long															o	0,2	1	0						5,75						0	0	0	0	0	0	0	0	0	0	0	0			
Kabeljau		3	4	0,5	nicht sehr vertraut	0	0	0			1,25	0,45	1,63	0,72	2,63	1,63	3,88	1,20	8	0,55	0,43	143680,20	37805,52	1	1	1																		very low AF													1	0			o			1				roll-schu-he		4,13						0	0	0	0	0	0	0	0	0	0	0	0			
Wels		1	4	0,5	nicht sehr vertraut	0	0	0			1,27	0,59	1,60	0,63	3,67	1,76	4,00	1,71	4	3,11	22,26	120491,04	91034,56	1	1	1																		very low AF														1			f	0	1	0				tor-te		5,94	0,24	0,28	0,29	0,18		0	0	0	0	0	0	0	0	0	0	0	0			
Eichhörnchen		3	3	0,5		0	0	0			1,83	0,83	1,30	0,56	5,24	1,30	5,57	0,98	12	2,48	1,71	758597,13	437907,38	1	1	1														3	0,00	0,00	0,00		Kompositum, aber lexikalisiert?	sehr lang															a	0	0	1				a-mei-se		5,20	0,30	0,10	0,50	0,38		0	0	0	0	0	0	0	0	0	0	0	0			
Zebra		2	3	0,5		0	0	0			2,00	0,91	1,06	0,24	5,67	0,77	5,50	0,92	5	0,60	5,14	50888,87	17753,06	1	1	1																			highly visual																o	1	1	0				tor-pe-do		4,81	0,21	0,37	0,31	0,20		0	0	0	0	0	0	0	0	0	0	0	0			
Krokodil		3	3	0,5		0	0	0			2,00	1,03	1,00	0,00	4,75	1,39	5,44	0,96	8	3,06	1,71	95919,47	31412,09	1	1	1																			highly visual																					Pflanze		lär-che		4,71	0,26	0,15	0,38	0,25		0	0	0	0	0	0	0	0	0	0	0	0			
Buch		1	3	0,5		0	0	1	1	1	2,00	0,91	5,67	0,59	4,89	1,64	6,00	0,00	4	219,82	28,68	196288,82	104898,41	0	0	0																			highly visual	not very low AF	extremely high frequent														o	1	0,2	1				laut-spre-cher		5,40	0,27	0,32	0,32	0,06		0	0	0	0	0	0	0	0	0	0	0	0			
Ball		1	3	0,5	lieber nicht (intuitiv zu stark mit Geräuschen assoziiert=	0	0	1	1	0,5	2,00	0,97	5,56	0,63	4,81	1,56	5,56	1,09	4	15,71	29,54	80289,35	41771,60	0	0	0																			highly visual	not very low AF															o	0,5	1	1						5,00	0,21	0,29	0,33	0,19		0	0	0	0	0	0	0	0	0	0	0	0			
Korkenzieher		4	3	0,5	im Notfall	0	0	1	1	1	1,93		5,13		3,87		5,79	0,59	12	0,37	0,86	665407,68	232143,26	0	0	0														NachR_VE					probably lexicalized compound																o	0	1	1				zan-ge		4,44	0,39	0,48	0,62	0,43		0	0	0	0	0	0	0	0	0	0	0	0			
Schnuller		2	3	0,5		0	0	1	1	0,8	2,00	1,10	5,13	0,96	4,00	1,93	5,56	0,89	9	0,39	1,71	508107,86	246458,60	0	0	0																			not very low AF																o	0	1	0				so-fa		6,00						0	0	0	0	0	0	0	0	0	0	0	0			
Rucksack		2	3	0,5		0	0	1	1	1	1,57	0,73	4,96	0,98	4,57	1,25	5,90	0,30	8	4,82	3,42	64143,60	20160,10	0	0	0														3	0,00	0,00	0,00						lexikalisiertes Kompositum												o	0,2	1	0						5,11	0,13	0,39	0,41	0,24		0	0	0	0	0	0	0	0	0	0	0	0			
Ruder		2	2	0,5		0	0	1	1		2,17	1,23	4,96	0,98	3,81	1,63	5,29	1,15	5	5,74	16,27	388841,13	244645,60	0	0	0														3	0,00	0,00	0,00		nicht sehr low AF																m	1	1	0				rat-sche		3,94						0	0	0	0	0	0	0	0	0	0	0	0			
Schraubenzieher		4	3	0,5	im Notfall	0	0	1	1	1	1,47		4,93		3,93		5,83	0,38	15	0,76	0,86	888030,73	265917,60	0	0	0														NachR_VE					probably lexicalized compound																p	0	0	1				en-zi-an		3,71						0	0	0	0	0	0	0	0	0	0	0	0			
Stiefel		2	3	0,5		0	0	1	0,5		2,22	1,13	4,91	1,20	4,81	1,29	5,90	0,30	7	15,19	5,57	191955,66	57254,53	0	0	0														3	0,00	0,00	0,00		nicht sehr low AF																o	n		1				schrau-ben-zie-her		4,33						0	0	0	0	0	0	0	0	0	0	0	0			
Ratsche		2	3	0,5		0	1	1	1	1	5,18	1,01	4,80	1,42	3,13	1,15	3,94	1,70	7	0,14	8,56	384689,22	223273,39	0	0	0																		very high AF	musical instr (only appear as high AF)																					Natur 		tor-na-do		4,86	0,37	0,14	0,35	0,30		0	0	0	0	0	0	0	0	0	0	0	0			
Schirm		1	3	0,5		0	0	1	1		2,22	1,17	4,70	1,29	4,57	1,29	5,86	0,36	6	8,15	7,71	218478,06	74633,97	0	0	0														3	0,00	0,00	0,00		nicht sehr low AF				genug high Act												o	0	1	1				kamm		4,60						0	0	0	0	0	0	0	0	0	0	0	0			
Violine		4	1	0,5	"same concept as ""Geige"" -> choose 1"	0	1	1	1	1	5,56		4,56		4,38		5,14	1,28	7	3,35	5,14	311172,68	180187,90	0	0	0																		very high AF	musical instr (only appear as high AF)	"same concept as ""Geige"" -> choose only 1 for 1 participant"			Vertrautheit seltsamerweise sehr niedrig -> nochmal raten?																					4,90	0,24	0,13	0,38	0,32		0	0	0	0	0	0	0	0	0	0	0	0			
Tisch		1	3	0,5	extremely high frequent as compared to other words	0	0	1	1	1	1,44	0,73	4,31	1,58	4,63	1,45	5,81	0,54	5	139,33	19,69	247580,40	133941,66	0	0	0																		very low AF	highly visual																f	0	0,8	1				spar-gel		4,33						0	0	0	0	0	0	0	0	0	0	0	0			
Bild		1	3	0,5		0	0	1	0,5	0,5	1,00	0,00	4,17	1,30	5,05	1,50	5,90	0,30	4	269,28	18,84	73045,80	60825,48	0	0	0														3	0,00	0,00	0,00		extremely high frequent				Hand Action?												o	0	1	1				müt-ze		4,31	0,28	0,37	0,40	0,19		0	0	0	0	0	0	0	0	0	0	0	0			
Mandoline		4	3	0,5		0	1	1	1	1	5,13		4,13		3,69		3,71	1,76	9	0,75	1,71	420516,68	200614,04	0	0	0																		very high AF	musical instr (only appear as high AF)																					Natur 		mu-schel		5,76	0,26	0,26	0,27	0,14		0	0	0	0	0	0	0	0	0	0	0	0			
Pistazie		3	3	0,5		0	0	1	1	0,8	1,89	1,13	3,94	1,55	4,56	1,20	5,67	0,77	8	0,20	0,86	316925,22	202233,01	1	0	0																			food (only appear as low AF)	not very low AF	not high action																			Pflanze		blü-te		5,62	0,10	0,24	0,30	0,13		0	0	0	0	0	0	0	0	0	0	0	0			
Karton		2	2	0,5	no -> warum nicht?	0	0	1	1	1	1,78	1,00	3,89	1,60	3,83	1,76	5,89	0,32	6	5,23	10,27	281914,14	228375,33	0	0	0																				not very low AF	not high action														a	0,5	0	0						5,00						0	0	0	0	0	0	0	0	0	0	0	0			
Torpedo		3	3	0,5		0	1	1	0,5	0,5	4,25	1,73	3,88	1,67	2,75	1,57	4,81	1,52	7	2,23	0,86	53950,88	16942,98	0	0	0																																			o	0,5	1	0						4,89						0	0	0	0	0	0	0	0	0	0	0	0			
Schinken		2	3	0,5	im Notfall	0	0	1	1	1	1,09	0,29	3,87	1,79	3,57	1,78	5,86	0,36	8	4,09	5,14	640493,18	375553,74	0	0	0														3	0,00	0,00	0,00		nicht sehr high Act																a	0,5	0	0						5,11	0,33	0,18	0,34	0,18		0	0	0	0	0	0	0	0	0	0	0	0			
Blaubeere		3	3	0,5	NATURAL	0	0	1	1	0,8	1,00		3,87		4,53		5,75	0,74	9	0,20	0,43	449374,45	171199,68	1	0	0														NachR_VE					compound but lexicalized?																p	0,5	1	1						5,20						0	0	0	0	0	0	0	0	0	0	0	0			
Rute		2	3	0,5		0	0	1	1	1	1,91	1,23	3,86	1,52	3,38	1,50	5,05	1,40	4	3,49	22,69	230617,08	166418,43	1	0	0														3	1,00	1,00	0,00		nicht sehr high Act																a	0	0	0				ter-mi-te		4,31						0	0	0	0	0	0	0	0	0	0	0	0			
Mine		2	3	0,5		0	1	1	0,5	0,5	4,17	1,54	3,83	1,82	3,17	1,54	4,94	1,35	4	5,96	34,67	270432,10	183842,03	0	0	0																																			o	0	1	0				ser-vi-et-te		5,83						0	0	0	0	0	0	0	0	0	0	0	0			
Haselnuss		3	3	0,5	im Notfall	0	0	1	1	0,8	1,53		3,80		4,53		5,92	0,28	9	0,76	0,00	202977,54	86615,31	1	0	0														NachR_VE					probably lexicalized compound													1			f	0	1	1				zwie-bel		5,40						0	0	0	0	0	0	0	0	0	0	0	0			
Clementine		4	3	0,5	NATURAL	0	0	1	1	0,8	1,07		3,73		4,20		5,54	0,83	10	0,29	2,57	545965,84	188655,37	1	0	0														NachR_VE				very low AF	food (only appear as low AF)	not very high Act	very long														o	0,5	1	1						4,94	0,30	0,09	0,30	0,25		0	0	0	0	0	0	0	0	0	0	0	0			
Tomate		3	4	0,5	NATURAL	0	0	1	1	0,8	1,00		3,73		4,53		6,00	0,00	6	6,06	1,71	256943,26	167132,24	1	0	0														NachR_VE				very low AF	food (only appear as low AF)	not very high Act												1			m	1	1	1				tu-ba		5,00	0,34	0,31	0,36	0,35		0	0	0	0	0	0	0	0	0	0	0	0			
Aprikose		4	4	0,5	NATURAL	0	0	1	1	1	1,00		3,67		4,27		5,96	0,20	8	1,55	0,86	227524,15	159499,98	1	0	0														NachR_VE				very low AF	food (only appear as low AF)			im Notfall (intuitiv high Act)													o	0,8	0,2	1						4,73	0,08	0,24	0,41	0,23		0	0	0	0	0	0	0	0	0	0	0	0			
Brombeere		3	4	0,5	NATURAL	0	0	1	1	1	1,00		3,67		4,60		5,79	0,51	9	0,87	2,14	420751,36	169193,11	1	0	0														NachR_VE				very low AF	food (only appear as low AF)	"probably lexicalized compound (""Brom"" has no meaning by itself)"	not high action	im Notfall (intuitiv high Act)			finde ich ok							1			f	0	1	1				a-na-nas		4,67	0,22	0,24	0,38	0,27		0	0	0	0	0	0	0	0	0	0	0	0			
Spargel		2	4	0,5	NATURAL	0	0	1	1	1	1,00		3,67		3,93		5,96	0,20	7	2,66	5,14	164951,16	54573,32	1	0	0														NachR_VE				very low AF	food (only appear as low AF)			im Notfall (intuitiv high Act)													o	0	1	1				si-chel		4,71	0,30	0,44	0,33	0,39		0	0	0	0	0	0	0	0	0	0	0	0			
Zitrone		3	4	0,5	NATURAL	0	0	1	1	1	1,07		3,67		4,80		6,00	0,00	7	4,28	2,57	262736,95	154676,11	1	0	0														NachR_VE				very low AF	food (only appear as low AF)	highly visual	not high action	im Notfall (intuitiv high Act)																		Natur 		sturz-bach		4,52	0,22	0,10	0,32	0,24		0	0	0	0	0	0	0	0	0	0	0	0			
Kirsche		2	4	0,5	NATURAL	0	0	1	1	1	1,00		3,60		4,80		6,00	0,00	7	3,42	5,99	384563,02	226296,76	1	0	0														NachR_VE				very low AF	food (only appear as low AF)	highly visual	not high action	im Notfall (intuitiv high Act)													o	0	0	1				pfos-ten		4,00	0,18	0,26	0,38	0,08		0	0	0	0	0	0	0	0	0	0	0	0			
Limette		3	4	0,5	NATURAL	0	0	1	1	1	1,22	0,43	3,56	1,25	4,22	1,66	5,78	0,73	7	0,03	1,71	280852,41	173859,26	1	0	0																		very low AF	food (only appear as low AF)	infrequent	not high action	im Notfall (intuitiv high Act)													a	0	0,5	1						4,81	0,26	0,37	0,47	0,44		0	0	0	0	0	0	0	0	0	0	0	0			
Birne		2	4	0,5	NATURAL	0	0	1	1	1	1,13		3,53		4,60		5,96	0,20	5	5,40	10,27	214590,14	164084,08	1	0	0														NachR_VE				very low AF	food (only appear as low AF)			im Notfall (intuitiv high Act)													o	0	1	1				korb		4,80						0	0	0	0	0	0	0	0	0	0	0	0			
Johannisbeere		5	3	0,5	im Notfall	0	0	1	1	0,8	1,00		3,53		4,33		5,79	0,51	13	0,73	1,28	527564,87	168080,73	1	0	0														NachR_VE					compound but lexicalized?																o	0,5	1	1						2,73						0	0	0	0	0	0	0	0	0	0	0	0			
Erdbeere		3	4	0,5	"NATURAL; intuitiv high Act"	0	0	1	1	0,8	1,17	0,38	3,50	1,29	4,83	1,38	6,00	0,00	8	2,83	1,28	418352,05	168828,31	1	0	0																		very low AF	food (only appear as low AF)	"highly visual; probably lexicalized compound"					ok										n	0,8	0,5	1						3,27						0	0	0	0	0	0	0	0	0	0	0	0			
Basilikum		4	4	0,5	NATURAL	0	0	1			1,00		3,47		4,13		5,88	0,45	9	0,29	0,86	147633,56	59293,19	1	0	0														NachR_VE				very low AF	food (only appear as low AF)			im Notfall (intuitiv high Act)													a	1	0,5	0						5,00	0,17	0,34	0,38	0,00		0	0	0	0	0	0	0	0	0	0	0	0			
Brille		2	3	0,5		0	0	1			1,00		3,44		5,44		6,00	0,00	6	12,09	9,42	232636,15	168235,15	0	0	0														NachR_VE				very low AF	highly visual		not high action	ja, im Notfall: intuitiv high Act																		menschengemachtes Objekt		ma-ri-o-net-te		5,10	0,26	0,26	0,30	0,28		0	0	0	0	0	0	0	0	0	0	0	0			
Champignon		3	4	0,5	NATURAL	0	0	1			1,00		3,40		4,60		5,92	0,41	10	1,12	0,86	285370,26	214120,71	1	0	0														NachR_VE				very low AF	food (only appear as low AF)		very long	im Notfall (intuitiv high Act)													m	1	1	1				or-gel		5,05						0	0	0	0	0	0	0	0	0	0	0	0			
Staub		1	3	0,5		0	0	0			1,17	0,49	2,35	1,19	3,24	2,00	5,48	1,03	5	19,73	11,13	81786,25	40913,84	1	0	0														3	0,00	0,00	0,00		nicht eindeutig low Act				eher Masse als Objekt	im Notfall 											o	1	0,5	1				we-cker		4,75						0	0	0	0	0	0	0	0	0	0	0	0			
Feld		1	3	0,5		0	0	0			1,07		2,33		3,40		6,00	0,00	4	66,46	17,12	84568,67	54305,14	1	0	0														NachR_VE				very low AF	recht vage / ambig			x (kein sehr niedriges Act-Rating, aber intuitiv nicht stark mit motorischen Handlungen assoziiert)													o	0,5	1	1						5,07	0,33	0,38	0,36	0,22		0	0	0	0	0	0	0	0	0	0	0	0			
Feder		2	3	0,5		0	0	0			1,26	0,54	2,26	1,14	5,14	1,15	5,62	0,59	5	22,56	22,69	401031,31	253464,48	1	0	0														3	0,00	0,00	0,00		nicht eindeutig low Act																					Natur 		wel-le		5,86	0,27	0,25	0,29	0,08		0	0	0	0	0	0	0	0	0	0	0	0			
Muschel		2	3	0,5		0	0	0			1,83	1,23	2,26	1,25	5,10	1,22	5,76	0,62	7	7,15	8,13	286602,13	102666,84	1	1	0														3	0,00	0,00	0,00		nicht sehr low Act													1			f	0	1	1				ba-na-ne		4,67	0,33	0,36	0,31	0,18		0	0	0	0	0	0	0	0	0	0	0	0			
Dreck		1	3	0,5		0	0	0			1,17	0,65	2,13	1,18	3,38	1,77	5,62	0,74	5	11,22	8,13	81000,51	31943,66	1	0	0														3	0,00	0,00	0,00		nicht sehr low Act	eher Masse als Objekt				im Notfall 											o	0	0,8	0				tru-he		5,67						0	0	0	0	0	0	0	0	0	0	0	0			
Schlamm		1	3	0,5		0	0	0			1,83	0,72	2,04	1,19	3,86	1,49	5,52	0,68	7	5,43	4,71	236044,01	79554,57	1	0	0														3	0,00	0,00	0,00		nicht sehr low Act	eher Masse als Objekt				im Notfall 																menschengemachtes Objekt		mast		5,19	0,11	0,29	0,34	0,24		0	0	0	0	0	0	0	0	0	0	0	0			
Gras		1	3	0,5		0	0	0			1,83	0,98	2,00	1,04	4,48	1,44	5,81	0,40	4	18,13	24,83	123415,25	96256,06	1	1	0														3	0,00	0,00	0,00						ambig?												p	0	0	0				al-ge		5,28	0,33	0,28	0,29	0,17		0	0	0	0	0	0	0	0	0	0	0	0			
Ast		1	3	0,5		0	0	0			2,14	1,07	1,93	1,03	3,85	1,59	5,67	0,72	3	10,99	33,82	150588,74	117949,57	1	1	0														3	0,00	0,00	0,00		nicht sehr low AF				Nach-Rating (da seltsam hohes AF-Rating)? ABER: unser eigenes Rating												o	0	1	0				ka-raf-fe		5,44	0,39	0,38	0,36	0,31		0	0	0	0	0	0	0	0	0	0	0	0			
Busch		1	3	0,5		0	0	0			2,22	1,13	1,70	0,97	4,29	1,42	5,71	0,46	5	16,69	21,40	240816,10	133773,25	1	1	0														3	0,00	0,00	0,00		nicht sehr low AF																f	0,2	0,8	0						6,00	0,32	0,37	0,40	0,16		0	0	0	0	0	0	0	0	0	0	0	0			
Krokus		2	3	0,5	nicht sehr vertraut	0	0	0			1,00		1,33		4,33		5,25	1,11	6	0,63	0,86	110013,98	86820,52	1	1	0														NachR_VE				very low AF	plant (only appear as low AF)																a	1	0	0				tau-be		5,75	0,20	0,35	0,42	0,43		0	0	0	0	0	0	0	0	0	0	0	0			
Fisch 		1	4	0,2	nur im Notfall	0	0	0			1,61	0,89	2,48	1,34	4,71	1,23	5,71	0,64	6	42,66	20,98	251349,55	137664,73	1	1	1														3	0,00	0,00	0,00		Überkategorie & nicht eindeutig low Act				Überkategorie -> nochmal diskutieren												f	0,2	0,8	1						4,07	0,30	0,14	0,32	0,25		0	0	0	0	0	0	0	0	0	0	0	0			
Klapperschlange		4	4	0,2	im absoluten Notfall (intuitiv nicht stark mit Handlungen assoziiert)	0	1	0			4,40		2,40		4,40		5,75	0,61	15	0,34	0,43	683408,87	236083,39	1	1	1														NachR_VE					compound but lexicalized?																									2,76	0,19	0,11	0,44	0,38		0	0	0	0	0	0	0	0	0	0	0	0			
Gans		1	4	0,2	no	0	1	0			3,75	1,24	2,19	0,91	4,06	1,57	5,56	0,81	4	9,64	28,68	142567,80	86621,29	1	1	1																			not high AF			im absoluten Notfall (kein sehr hohes AF- & kein sehr niedriges Act-Rating)													n	0	0,2	1				feld		4,47						0	0	0	0	0	0	0	0	0	0	0	0			
Schildkröte		3	4	0,2	Notfall x (compound und lang)	0	0	0			1,47		1,93		4,87		6,00	0,00	11	2,84	0,86	402387,72	199007,02	1	1	1														NachR_VE				very low AF	"highly visual; probably lexicalized compound"		very long				finde ich ok															Pflanze		ei-che		5,36	0,12	0,16	0,32	0,15		0	0	0	0	0	0	0	0	0	0	0	0			
Schwan		1	4	0,2		0	0	0			2,07		1,93		4,80		5,96	0,20	6	3,47	9,85	413564,87	245440,96	1	1	1														NachR_VE						not very low AF		nur im absoluten Notfall (intuitiv nicht sehr low AF)																		Pflanze		bu-che		5,57	0,15	0,14	0,31	0,13		0	0	0	0	0	0	0	0	0	0	0	0			
Torso		2	4	0,2	no	0	0	0			1,13		1,73		5,00		4,88	1,48	5	1,23	7,71	63363,14	21741,70	1	1	1														NachR_VE					body part (not a whole object)																o	1	1	0				ver-stär-ker		5,38	0,33	0,21	0,24	0,22		0	0	0	0	0	0	0	0	0	0	0	0			
Tintenfisch		3	4	0,2	Notfall x (lang, vgl. Schmetterling)	0	0	0			1,00		1,67		4,73		5,79	0,51	11	1,95	1,71	610640,13	168894,16	1	1	1														NachR_VE				very low AF	"compound but lexicalized?; highly visual"	very long					finde ich ok							1			m	1	1	0				trom-pe-te		5,67	0,20	0,33	0,41	0,14		0	0	0	0	0	0	0	0	0	0	0	0			
Seehund		2	4	0,2	im absoluten Notfall	0	1	0			3,73		1,67		4,80		5,83	0,38	7	0,89	2,57	213576,96	131093,85	1	1	1														NachR_VE					compound but lexicalized?				"better ""Robbe"""												m	1	1	0						2,56	0,21	0,24	0,26	0,28		0	0	0	0	0	0	0	0	0	0	0	0			
Aal		1	2	0,2	sehr kurz	0	0	0			1,17	0,38	1,50	0,71	4,72	1,45	5,39	1,04	3	3,20	30,39	59748,24	36024,28	1	1	1																		very low AF	highly visual	very low action															a	0	0	1				schmet-ter-ling		4,87	0,21	0,44	0,39	0,26		0	0	0	0	0	0	0	0	0	0	0	0			
Reh		1	3	0,2	sehr kurz	0	0	0			1,89	0,76	1,39	0,61	5,28	1,02	5,78	0,55	3	3,01	35,53	69060,71	53617,34	1	1	1																			highly visual & short																					Gebäude				5,57	0,12	0,33	0,25	0,20		0	0	0	0	0	0	0	0	0	0	0	0			
Faultier		2	3	0,2		0	0	0			1,30	0,47	1,35	0,78	4,43	1,69	5,29	1,38	8	0,47	2,14	439012,54	216386,33	1	1	1														3	0,00	0,00	0,00		Kompositum, aber lexikalisiert?																					Tier		pan-da		5,43	0,15	0,14	0,19	0,23		0	0	0	0	0	0	0	0	0	0	0	0			
Hai		1	2	0,2	sehr kurz	0	0	0			1,67	0,97	1,33	0,59	5,50	0,99	5,72	0,83	3	2,02	43,24	23690,24	22461,57	1	1	1																			highly visual & short																a	0,5	0	0						5,19	0,26	0,22	0,39	0,30		0	0	0	0	0	0	0	0	0	0	0	0			
Wombat		2	4	0,2	zu unvertraut	0	0	0			1,80	0,77	1,31	0,60	4,44	1,50	3,44	1,38	6	0,06	1,28	131401,15	104538,77	1	1	1																			infrequent / not well known?						finde ich ok										a	0,8	0	0						5,61						0	0	0	0	0	0	0	0	0	0	0	0			
Emu		2	4	0,2	nur im Notfall	0	0	0			1,59	0,85	1,27	0,46	3,85	1,90	3,90	1,58	3	0,09	11,56	31385,85	27700,78	1	1	1														3	1,00	1,00	1,00		recht unvertraut				unvertraut?																	menschengemachtes Objekt				4,10	0,32	0,33	0,37	0,38		0	0	0	0	0	0	0	0	0	0	0	0			
Gnu		1	4	0,2	nur im Notfall	0	0	0			1,77	1,02	1,19	0,40	3,89	1,91	3,86	1,56	3	0,15	9,42	33885,69	27729,43	1	1	1														3	1,00	2,00	2,00		recht unvertraut				unvertraut?												n	1	0	0				la-wi-ne		4,71						0	0	0	0	0	0	0	0	0	0	0	0			
Mörser		2	4	0,2		0	1	1	1	1	3,90	1,22	5,33	0,84	3,78	1,31	4,71	1,71	6	1,11	3,85	348683,83	212352,69	0	0	0																		pretty high AF	not very high AF																a	0,5	0	1						3,67	0,41	0,09	0,29	0,33		0	0	0	0	0	0	0	0	0	0	0	0			
Ziehharmonika		5	4	0,2	compound und sehr lang, vgl. Mundharmonika	0	1	1	1	1	5,63	0,89	5,31	0,95	3,88	1,50	5,50	1,10	13	0,71	0,86	212016,37	20598,15	0	0	0																		very high AF	musical instr (only appear as high AF)	long & compound (but probably lexicalized)	very long														a	1	0	1				ra-be		4,33	0,09	0,40	0,27	0,38		0	0	0	0	0	0	0	0	0	0	0	0			
Matratze		3	4	0,2		0	0	1	0,5	0,2	1,94	1,30	5,22	0,88	3,83	1,92	5,89	0,32	8	3,80	1,28	239536,97	161651,13	0	0	0																			not very low AF																o	1	1	0						5,88	0,35	0,36	0,37	0,25		0	0	0	0	0	0	0	0	0	0	0	0			
Bagger		2	4	0,2		0	1	1	0,8	0,2	4,63	1,50	5,19	1,17	4,69	1,30	5,38	1,31	6	1,27	8,13	370686,76	216863,97	0	0	0																																			o	0	0	1				pla-ket-te		3,53						0	0	0	0	0	0	0	0	0	0	0	0			
Drucker		2	4	0,2		0	1	1	1	1	3,81	1,42	5,13	1,31	3,63	1,45	5,63	0,72	7	6,89	8,13	339339,52	217860,65	0	0	0																			not very high AF																o	1	1	1				fön		4,25	0,30	0,34	0,34	0,06		0	0	0	0	0	0	0	0	0	0	0	0			
Fernseher		3	3	0,2		0	1	1	0,8	0	5,44	0,89	5,06	1,18	5,06	1,29	6,00	0,00	9	2,95	1,71	584715,23	229092,11	0	0	0																		very high AF																	f	0	0,8	1				kir-sche		4,87						0	0	0	0	0	0	0	0	0	0	0	0			
